year,dimension_type,dimension_value,direction,value
2000,country,Afghanistan,emigration,16
2000,country,Afghanistan,immigration,13
2000,country,Albanien,emigration,44
2000,country,Albanien,immigration,45
2000,country,Algerien,emigration,75
2000,country,Algerien,immigration,64
2000,country,Andorra,emigration,14
2000,country,Andorra,immigration,12
2000,country,Angola,emigration,19
2000,country,Angola,immigration,17
2000,country,Argentinien,emigration,315
2000,country,Argentinien,immigration,489
2000,country,Armenien,emigration,10
2000,country,Armenien,immigration,66
2000,country,Aserbaidschan,emigration,7
2000,country,Aserbaidschan,immigration,35
2000,country,Australien,emigration,1389
2000,country,Australien,immigration,1164
2000,country,Belarus,emigration,34
2000,country,Belarus,immigration,218
2000,country,Belgien,emigration,2230
2000,country,Belgien,immigration,2162
2000,country,"Bolivien, Plurinationaler Staat",emigration,95
2000,country,"Bolivien, Plurinationaler Staat",immigration,181
2000,country,Bosnien und Herzegowina,emigration,87
2000,country,Bosnien und Herzegowina,immigration,102
2000,country,Brasilien,emigration,1008
2000,country,Brasilien,immigration,1278
2000,country,Bulgarien,emigration,108
2000,country,Bulgarien,immigration,153
2000,country,Chile,emigration,262
2000,country,Chile,immigration,406
2000,country,China,emigration,812
2000,country,China,immigration,870
2000,country,Costa Rica,emigration,141
2000,country,Costa Rica,immigration,156
2000,country,Cote d'Ivoire,emigration,25
2000,country,Cote d'Ivoire,immigration,48
2000,country,Dänemark,emigration,696
2000,country,Dänemark,immigration,587
2000,country,Estland,emigration,30
2000,country,Estland,immigration,136
2000,country,Finnland,emigration,247
2000,country,Finnland,immigration,215
2000,country,Frankreich,emigration,6603
2000,country,Frankreich,immigration,5633
2000,country,Georgien,emigration,11
2000,country,Georgien,immigration,62
2000,country,Ghana,emigration,130
2000,country,Ghana,immigration,127
2000,country,Griechenland,emigration,999
2000,country,Griechenland,immigration,958
2000,country,Honduras,emigration,24
2000,country,Honduras,immigration,57
2000,country,Indien,emigration,327
2000,country,Indien,immigration,453
2000,country,Indonesien,emigration,251
2000,country,Indonesien,immigration,282
2000,country,Irak,emigration,12
2000,country,Irak,immigration,48
2000,country,"Iran, Islamische Republik",emigration,82
2000,country,"Iran, Islamische Republik",immigration,120
2000,country,Irland,emigration,770
2000,country,Irland,immigration,515
2000,country,Island,emigration,81
2000,country,Island,immigration,50
2000,country,Israel,emigration,367
2000,country,Israel,immigration,384
2000,country,Italien,emigration,3077
2000,country,Italien,immigration,2623
2000,country,Japan,emigration,482
2000,country,Japan,immigration,529
2000,country,Jemen,emigration,29
2000,country,Jemen,immigration,20
2000,country,Jordanien,emigration,88
2000,country,Jordanien,immigration,131
2000,country,Kamerun,emigration,56
2000,country,Kamerun,immigration,73
2000,country,Kanada,emigration,2092
2000,country,Kanada,immigration,1264
2000,country,Kasachstan,emigration,474
2000,country,Kasachstan,immigration,42657
2000,country,Kenia,emigration,187
2000,country,Kenia,immigration,224
2000,country,Kirgisistan,emigration,41
2000,country,Kirgisistan,immigration,2125
2000,country,Kolumbien,emigration,122
2000,country,Kolumbien,immigration,461
2000,country,"Kongo, Demokratische Republik",emigration,7
2000,country,"Kongo, Demokratische Republik",immigration,8
2000,country,"Kongo, Republik",emigration,9
2000,country,"Kongo, Republik",immigration,14
2000,country,"Korea, Demokratische Volksrepublik",emigration,33
2000,country,"Korea, Demokratische Volksrepublik",immigration,30
2000,country,"Korea, Republik",emigration,92
2000,country,"Korea, Republik",immigration,120
2000,country,Kosovo,emigration,0
2000,country,Kosovo,immigration,0
2000,country,Kroatien,emigration,278
2000,country,Kroatien,immigration,296
2000,country,Kuwait,emigration,18
2000,country,Kuwait,immigration,42
2000,country,Lettland,emigration,75
2000,country,Lettland,immigration,239
2000,country,Libanon,emigration,164
2000,country,Libanon,immigration,213
2000,country,Libyen,emigration,37
2000,country,Libyen,immigration,39
2000,country,Litauen,emigration,52
2000,country,Litauen,immigration,330
2000,country,Luxemburg,emigration,648
2000,country,Luxemburg,immigration,512
2000,country,Malta,emigration,61
2000,country,Malta,immigration,49
2000,country,Marokko,emigration,155
2000,country,Marokko,immigration,236
2000,country,Mexiko,emigration,486
2000,country,Mexiko,immigration,628
2000,country,Montenegro (ab 03.06.2006),emigration,0
2000,country,Montenegro (ab 03.06.2006),immigration,0
2000,country,Namibia,emigration,214
2000,country,Namibia,immigration,344
2000,country,Neuseeland,emigration,394
2000,country,Neuseeland,immigration,274
2000,country,Nicaragua,emigration,44
2000,country,Nicaragua,immigration,53
2000,country,Niederlande,emigration,3665
2000,country,Niederlande,immigration,3838
2000,country,Niger,emigration,25
2000,country,Niger,immigration,11
2000,country,Nigeria,emigration,129
2000,country,Nigeria,immigration,143
2000,country,Nordmazedonien,emigration,40
2000,country,Nordmazedonien,immigration,30
2000,country,Norwegen,emigration,659
2000,country,Norwegen,immigration,338
2000,country,Pakistan,emigration,180
2000,country,Pakistan,immigration,265
2000,country,Paraguay,emigration,184
2000,country,Paraguay,immigration,403
2000,country,Peru,emigration,131
2000,country,Peru,immigration,244
2000,country,Philippinen,emigration,358
2000,country,Philippinen,immigration,482
2000,country,Polen,emigration,10968
2000,country,Polen,immigration,19961
2000,country,Portugal,emigration,924
2000,country,Portugal,immigration,874
2000,country,Ruanda,emigration,15
2000,country,Ruanda,immigration,10
2000,country,Rumänien,emigration,396
2000,country,Rumänien,immigration,1079
2000,country,Russische Föderation,emigration,1286
2000,country,Russische Föderation,immigration,40081
2000,country,Saudi-Arabien,emigration,154
2000,country,Saudi-Arabien,immigration,204
2000,country,Schweden,emigration,914
2000,country,Schweden,immigration,513
2000,country,Schweiz,emigration,7998
