year,dimension_type,dimension_value,direction,value
1950,global,global,emigration,
1950,global,global,immigration,
1951,global,global,emigration,
1951,global,global,immigration,
1952,global,global,emigration,
1952,global,global,immigration,
1953,global,global,emigration,
1953,global,global,immigration,
1954,global,global,emigration,107381.0
1954,global,global,immigration,64637.0
1955,global,global,emigration,101429.0
1955,global,global,immigration,67553.0
1956,global,global,emigration,119880.0
1956,global,global,immigration,76581.0
1957,global,global,emigration,113879.0
1957,global,global,immigration,92724.0
1958,global,global,emigration,97854.0
1958,global,global,immigration,94238.0
1959,global,global,emigration,98234.0
1959,global,global,immigration,81681.0
1960,global,global,emigration,94133.0
1960,global,global,immigration,77331.0
1961,global,global,emigration,85012.0
1961,global,global,immigration,78354.0
1962,global,global,emigration,78657.0
1962,global,global,immigration,71984.0
1963,global,global,emigration,78645.0
1963,global,global,immigration,71188.0
1964,global,global,emigration,86319.0
1964,global,global,immigration,73125.0
1965,global,global,emigration,76799.0
1965,global,global,immigration,75580.0
1966,global,global,emigration,73540.0
1966,global,global,immigration,69841.0
1967,global,global,emigration,76317.0
1967,global,global,immigration,68105.0
1968,global,global,emigration,71676.0
1968,global,global,immigration,67951.0
1969,global,global,emigration,68021.0
1969,global,global,immigration,71165.0
1970,global,global,emigration,61023.0
1970,global,global,immigration,66528.0
1971,global,global,emigration,54022.0
1971,global,global,immigration,65612.0
1972,global,global,emigration,54164.0
1972,global,global,immigration,65387.0
1973,global,global,emigration,53208.0
1973,global,global,immigration,63474.0
1974,global,global,emigration,55168.0
1974,global,global,immigration,62439.0
1975,global,global,emigration,52861.0
1975,global,global,immigration,62969.0
1976,global,global,emigration,53695.0
1976,global,global,immigration,88983.0
1977,global,global,emigration,53603.0
1977,global,global,immigration,99766.0
1978,global,global,emigration,53016.0
1978,global,global,immigration,103503.0
1979,global,global,emigration,53083.0
1979,global,global,immigration,104645.0
1980,global,global,emigration,53728.0
1980,global,global,immigration,104928.0
1981,global,global,emigration,55001.0
1981,global,global,immigration,104491.0
1982,global,global,emigration,60227.0
