year,origin,destination,migrants
2000,Germany,Afghanistan,16.0
2000,Germany,Albanien,44.0
2000,Germany,Algerien,75.0
2000,Germany,Andorra,14.0
2000,Germany,Angola,19.0
2000,Germany,Argentinien,315.0
2000,Germany,Armenien,10.0
2000,Germany,Aserbaidschan,7.0
2000,Germany,Australien,1389.0
2000,Germany,Belarus,34.0
2000,Germany,Belgien,2230.0
2000,Germany,"Bolivien, Plurinationaler Staat",95.0
2000,Germany,Bosnien und Herzegowina,87.0
2000,Germany,Brasilien,1008.0
2000,Germany,Bulgarien,108.0
2000,Germany,Chile,262.0
2000,Germany,China,812.0
2000,Germany,Costa Rica,141.0
2000,Germany,Cote d'Ivoire,25.0
2000,Germany,Dänemark,696.0
2000,Germany,Estland,30.0
2000,Germany,Finnland,247.0
2000,Germany,Frankreich,6603.0
2000,Germany,Georgien,11.0
2000,Germany,Ghana,130.0
2000,Germany,Griechenland,999.0
2000,Germany,Honduras,24.0
2000,Germany,Indien,327.0
2000,Germany,Indonesien,251.0
2000,Germany,Irak,12.0
2000,Germany,"Iran, Islamische Republik",82.0
2000,Germany,Irland,770.0
2000,Germany,Island,81.0
2000,Germany,Israel,367.0
2000,Germany,Italien,3077.0
2000,Germany,Japan,482.0
2000,Germany,Jemen,29.0
2000,Germany,Jordanien,88.0
2000,Germany,Kamerun,56.0
2000,Germany,Kanada,2092.0
2000,Germany,Kasachstan,474.0
2000,Germany,Kenia,187.0
2000,Germany,Kirgisistan,41.0
2000,Germany,Kolumbien,122.0
2000,Germany,"Kongo, Demokratische Republik",7.0
2000,Germany,"Kongo, Republik",9.0
2000,Germany,"Korea, Demokratische Volksrepublik",33.0
2000,Germany,"Korea, Republik",92.0
2000,Germany,Kosovo,0.0
2000,Germany,Kroatien,278.0
2000,Germany,Kuwait,18.0
2000,Germany,Lettland,75.0
2000,Germany,Libanon,164.0
2000,Germany,Libyen,37.0
2000,Germany,Litauen,52.0
2000,Germany,Luxemburg,648.0
2000,Germany,Malta,61.0
2000,Germany,Marokko,155.0
2000,Germany,Mexiko,486.0
2000,Germany,Montenegro (ab 03.06.2006),0.0
2000,Germany,Namibia,214.0
2000,Germany,Neuseeland,394.0
2000,Germany,Nicaragua,44.0
2000,Germany,Niederlande,3665.0
2000,Germany,Niger,25.0
2000,Germany,Nigeria,129.0
2000,Germany,Nordmazedonien,40.0
2000,Germany,Norwegen,659.0
2000,Germany,Pakistan,180.0
2000,Germany,Paraguay,184.0
2000,Germany,Peru,131.0
2000,Germany,Philippinen,358.0
2000,Germany,Polen,10968.0
2000,Germany,Portugal,924.0
2000,Germany,Ruanda,15.0
2000,Germany,Rumänien,396.0
2000,Germany,Russische Föderation,1286.0
2000,Germany,Saudi-Arabien,154.0
2000,Germany,Schweden,914.0
2000,Germany,Schweiz,7998.0
2000,Germany,Senegal,22.0
2000,Germany,Serbien,0.0
2000,Germany,Singapur,419.0
2000,Germany,Slowakei,101.0
2000,Germany,Slowenien,124.0
2000,Germany,Somalia,4.0
2000,Germany,Spanien,6750.0
2000,Germany,Syrien,118.0
2000,Germany,Südafrika,786.0
2000,Germany,Tadschikistan,17.0
2000,Germany,Tansania,115.0
2000,Germany,Thailand,627.0
2000,Germany,Tschechien,621.0
2000,Germany,Tunesien,192.0
2000,Germany,Türkei,1339.0
2000,Germany,Uganda,45.0
2000,Germany,Ukraine,110.0
2000,Germany,Unbekanntes Ausland,7667.0
2000,Germany,Ungarn,741.0
2000,Germany,Ungeklärt / Ohne Angabe,8113.0
2000,Germany,Uruguay,74.0
2000,Germany,Usbekistan,26.0
2000,Germany,"Venezuela, Bolivarische Republik",176.0
2000,Germany,Vereinigte Arabische Emirate,292.0
2000,Germany,Vereinigte Staaten,13855.0
