year,direction,value
1950,emigration,
1950,immigration,
1951,emigration,
1951,immigration,
1952,emigration,
1952,immigration,
1953,emigration,
1953,immigration,
1954,emigration,107381.0
1954,immigration,64637.0
1955,emigration,101429.0
1955,immigration,67553.0
1956,emigration,119880.0
1956,immigration,76581.0
1957,emigration,113879.0
1957,immigration,92724.0
1958,emigration,97854.0
1958,immigration,94238.0
1959,emigration,98234.0
1959,immigration,81681.0
1960,emigration,94133.0
1960,immigration,77331.0
1961,emigration,85012.0
1961,immigration,78354.0
1962,emigration,78657.0
1962,immigration,71984.0
1963,emigration,78645.0
1963,immigration,71188.0
1964,emigration,86319.0
1964,immigration,73125.0
1965,emigration,76799.0
1965,immigration,75580.0
1966,emigration,73540.0
1966,immigration,69841.0
1967,emigration,76317.0
1967,immigration,68105.0
1968,emigration,71676.0
1968,immigration,67951.0
1969,emigration,68021.0
1969,immigration,71165.0
1970,emigration,61023.0
1970,immigration,66528.0
1971,emigration,54022.0
1971,immigration,65612.0
1972,emigration,54164.0
1972,immigration,65387.0
1973,emigration,53208.0
1973,immigration,63474.0
1974,emigration,55168.0
1974,immigration,62439.0
1975,emigration,52861.0
1975,immigration,62969.0
1976,emigration,53695.0
1976,immigration,88983.0
1977,emigration,53603.0
1977,immigration,99766.0
1978,emigration,53016.0
1978,immigration,103503.0
1979,emigration,53083.0
1979,immigration,104645.0
1980,emigration,53728.0
1980,immigration,104928.0
1981,emigration,55001.0
1981,immigration,104491.0
1982,emigration,60227.0
1982,immigration,82337.0
1983,emigration,62355.0
1983,immigration,81244.0
1984,emigration,59764.0
1984,immigration,79247.0
1985,emigration,58607.0
1985,immigration,82653.0
1986,emigration,59350.0
1986,immigration,88867.0
1987,emigration,64534.0
1987,immigration,119429.0
1988,emigration,60498.0
1988,immigration,213044.0
1989,emigration,101750.0
1989,immigration,366849.0
1990,emigration,108908.0
1990,immigration,420548.0
1991,emigration,98915.0
1991,immigration,273633.0
1992,emigration,105171.0
1992,immigration,290850.0
1993,emigration,104653.0
1993,immigration,287561.0
1994,emigration,138280.0
1994,immigration,305037.0
1995,emigration,130672.0
1995,immigration,303347.0
1996,emigration,118430.0
1996,immigration,251737.0
1997,emigration,109903.0
1997,immigration,225335.0
1998,emigration,116403.0
1998,immigration,196956.0
1999,emigration,116410.0
1999,immigration,200150.0
2000,emigration,111244.0
2000,immigration,191909.0
2001,emigration,109507.0
2001,immigration,193958.0
2002,emigration,117683.0
2002,immigration,184202.0
2003,emigration,127267.0
2003,immigration,167216.0
2004,emigration,150667.0
2004,immigration,177993.0
2005,emigration,144815.0
2005,immigration,128051.0
2006,emigration,155290.0
2006,immigration,103388.0
2007,emigration,161105.0
2007,immigration,106014.0
2008,emigration,174759.0
2008,immigration,108331.0
2009,emigration,154988.0
2009,immigration,114700.0
2010,emigration,141000.0
2010,immigration,114752.0
2011,emigration,140132.0
2011,immigration,116604.0
2012,emigration,133232.0
2012,immigration,115028.0
2013,emigration,140282.0
2013,immigration,118425.0
2014,emigration,148636.0
2014,immigration,122195.0
2015,emigration,138273.0
2015,immigration,120713.0
2016,emigration,281411.0
2016,immigration,146047.0
2017,emigration,249181.0
2017,immigration,166703.0
2018,emigration,261851.0
2018,immigration,201531.0
2019,emigration,270294.0
2019,immigration,212669.0
2020,emigration,220239.0
2020,immigration,191883.0
2021,emigration,247829.0
2021,immigration,183650.0
2022,emigration,268167.0
2022,immigration,184753.0
2023,emigration,265035.0
2023,immigration,191356.0
2024,emigration,269986.0
2024,immigration,189107.0
