year,dimension_value,emigration,immigration,return_rate_age
2000,1-Jährige,2081,3296,1.5838539163863528
2000,10-Jährige,1134,2733,2.4100529100529102
2000,11-Jährige,1076,2702,2.5111524163568775
2000,12-Jährige,955,2782,2.913089005235602
2000,13-Jährige,937,3007,3.209178228388474
2000,14-Jährige,788,2838,3.6015228426395938
2000,15-Jährige,864,2850,3.298611111111111
2000,16-Jährige,969,2923,3.0165118679050567
2000,17-Jährige,1105,2937,2.657918552036199
2000,18-Jährige,1113,3650,3.279424977538185
2000,19-Jährige,1405,3968,2.824199288256228
2000,2-Jährige,1483,2781,1.8752528658125422
2000,20-Jährige,1729,4204,2.4314632735685366
2000,21-Jährige,1938,4092,2.111455108359133
2000,22-Jährige,2065,4004,1.9389830508474577
2000,23-Jährige,2348,3936,1.676320272572402
2000,24-Jährige,2344,4040,1.7235494880546076
2000,25-Jährige,2417,3735,1.5453040959867606
2000,26-Jährige,2583,3480,1.3472706155632985
2000,27-Jährige,2554,3439,1.3465152701644478
2000,28-Jährige,2832,3362,1.1871468926553672
2000,29-Jährige,3113,3434,1.1031159653067781
2000,3-Jährige,1562,2609,1.6702944942381561
2000,30-Jährige,3167,3362,1.0615724660562047
2000,31-Jährige,3221,3404,1.056814653834213
2000,32-Jährige,3393,3465,1.0212201591511936
2000,33-Jährige,3296,3601,1.0925364077669903
2000,34-Jährige,3167,3673,1.1597726555099463
2000,35-Jährige,3087,3609,1.1690962099125364
2000,36-Jährige,2845,3653,1.2840070298769772
2000,37-Jährige,2770,3772,1.3617328519855596
2000,38-Jährige,2529,3677,1.453934361407671
2000,39-Jährige,2441,3630,1.4870954526833264
2000,4-Jährige,1488,2469,1.659274193548387
2000,40-Jährige,2115,3545,1.6761229314420805
2000,41-Jährige,2050,3523,1.7185365853658536
2000,42-Jährige,1813,3240,1.7870932156646442
2000,43-Jährige,1694,3078,1.8170011806375443
2000,44-Jährige,1614,2940,1.821561338289963
2000,45-Jährige,1415,2880,2.035335689045936
2000,46-Jährige,1399,2721,1.9449606862044317
2000,47-Jährige,1355,2522,1.8612546125461256
2000,48-Jährige,1287,2513,1.9526029526029527
2000,49-Jährige,1168,2359,2.0196917808219177
2000,5-Jährige,1402,2510,1.7902995720399428
2000,50-Jährige,1156,2326,2.0121107266435985
2000,51-Jährige,1102,2128,1.9310344827586208
2000,52-Jährige,1035,1812,1.7507246376811594
2000,53-Jährige,909,1600,1.7601760176017602
2000,54-Jährige,759,1203,1.5849802371541502
2000,55-Jährige,651,885,1.359447004608295
2000,56-Jährige,821,1009,1.2289890377588306
2000,57-Jährige,776,1113,1.434278350515464
2000,58-Jährige,809,1279,1.5809641532756489
2000,59-Jährige,847,1529,1.8051948051948052
2000,6-Jährige,1588,2604,1.6397984886649875
2000,60-Jährige,957,1628,1.7011494252873562
2000,61-Jährige,850,1599,1.8811764705882352
2000,62-Jährige,747,1472,1.9705488621151273
2000,63-Jährige,632,1479,2.3401898734177213
2000,64-Jährige,525,1200,2.2857142857142856
2000,65-Jährige,506,1163,2.2984189723320156
2000,66-Jährige,405,804,1.9851851851851852
2000,67-Jährige,280,667,2.382142857142857
2000,68-Jährige,271,670,2.4723247232472323
2000,69-Jährige,242,627,2.590909090909091
2000,7-Jährige,1573,2470,1.5702479338842976
2000,70-Jährige,301,708,2.352159468438538
2000,71-Jährige,218,663,3.041284403669725
2000,72-Jährige,244,641,2.627049180327869
2000,73-Jährige,214,565,2.6401869158878504
2000,74-Jährige,186,521,2.8010752688172045
2000,75-Jährige,168,460,2.738095238095238
2000,76-Jährige,160,384,2.4
2000,77-Jährige,125,337,2.696
2000,78-Jährige,126,218,1.7301587301587302
2000,79-Jährige,132,187,1.4166666666666667
2000,8-Jährige,1190,2597,2.1823529411764704
2000,80-Jährige,115,197,1.7130434782608697
2000,81-Jährige,98,180,1.836734693877551
2000,82-Jährige,74,150,2.027027027027027
2000,83-Jährige,50,66,1.32
2000,84-Jährige,63,100,1.5873015873015872
2000,85-Jährige,67,74,1.1044776119402986
2000,86-Jährige,69,104,1.5072463768115942
2000,87-Jährige,71,86,1.2112676056338028
2000,88-Jährige,69,72,1.0434782608695652
2000,89-Jährige,42,55,1.3095238095238095
