year,country,emigration,immigration,return_rate_country
2000,Afghanistan,16,13,0.8125
2000,Albanien,44,45,1.0227272727272727
2000,Algerien,75,64,0.8533333333333334
2000,Andorra,14,12,0.8571428571428571
2000,Angola,19,17,0.8947368421052632
2000,Argentinien,315,489,1.5523809523809524
2000,Armenien,10,66,6.6
2000,Aserbaidschan,7,35,5.0
2000,Australien,1389,1164,0.838012958963283
2000,Belarus,34,218,6.411764705882353
2000,Belgien,2230,2162,0.9695067264573991
2000,"Bolivien, Plurinationaler Staat",95,181,1.9052631578947368
2000,Bosnien und Herzegowina,87,102,1.1724137931034482
2000,Brasilien,1008,1278,1.2678571428571428
2000,Bulgarien,108,153,1.4166666666666667
2000,Chile,262,406,1.549618320610687
2000,China,812,870,1.0714285714285714
2000,Costa Rica,141,156,1.1063829787234043
2000,Cote d'Ivoire,25,48,1.92
2000,Dänemark,696,587,0.8433908045977011
2000,Estland,30,136,4.533333333333333
2000,Finnland,247,215,0.8704453441295547
2000,Frankreich,6603,5633,0.853097077086173
2000,Georgien,11,62,5.636363636363637
2000,Ghana,130,127,0.9769230769230769
2000,Griechenland,999,958,0.958958958958959
2000,Honduras,24,57,2.375
2000,Indien,327,453,1.385321100917431
2000,Indonesien,251,282,1.1235059760956174
2000,Insgesamt,111244,191909,1.7251177591600446
2000,Irak,12,48,4.0
2000,"Iran, Islamische Republik",82,120,1.4634146341463414
2000,Irland,770,515,0.6688311688311688
2000,Island,81,50,0.6172839506172839
2000,Israel,367,384,1.0463215258855585
2000,Italien,3077,2623,0.8524536886577836
2000,Japan,482,529,1.0975103734439835
2000,Jemen,29,20,0.6896551724137931
2000,Jordanien,88,131,1.4886363636363635
2000,Kamerun,56,73,1.3035714285714286
2000,Kanada,2092,1264,0.6042065009560229
2000,Kasachstan,474,42657,89.99367088607595
2000,Kenia,187,224,1.1978609625668448
2000,Kirgisistan,41,2125,51.829268292682926
2000,Kolumbien,122,461,3.778688524590164
2000,"Kongo, Demokratische Republik",7,8,1.1428571428571428
2000,"Kongo, Republik",9,14,1.5555555555555556
2000,"Korea, Demokratische Volksrepublik",33,30,0.9090909090909091
2000,"Korea, Republik",92,120,1.3043478260869565
2000,Kosovo,0,0,
2000,Kroatien,278,296,1.064748201438849
2000,Kuwait,18,42,2.3333333333333335
2000,Lettland,75,239,3.1866666666666665
2000,Libanon,164,213,1.298780487804878
2000,Libyen,37,39,1.054054054054054
2000,Litauen,52,330,6.346153846153846
2000,Luxemburg,648,512,0.7901234567901234
2000,Malta,61,49,0.8032786885245902
2000,Marokko,155,236,1.5225806451612902
2000,Mexiko,486,628,1.2921810699588476
2000,Montenegro (ab 03.06.2006),0,0,
2000,Namibia,214,344,1.6074766355140186
2000,Neuseeland,394,274,0.6954314720812182
2000,Nicaragua,44,53,1.2045454545454546
2000,Niederlande,3665,3838,1.0472032742155526
2000,Niger,25,11,0.44
2000,Nigeria,129,143,1.1085271317829457
2000,Nordmazedonien,40,30,0.75
2000,Norwegen,659,338,0.5128983308042488
2000,Pakistan,180,265,1.4722222222222223
2000,Paraguay,184,403,2.1902173913043477
2000,Peru,131,244,1.8625954198473282
2000,Philippinen,358,482,1.3463687150837989
2000,Polen,10968,19961,1.8199307075127644
2000,Portugal,924,874,0.9458874458874459
2000,Ruanda,15,10,0.6666666666666666
2000,Rumänien,396,1079,2.724747474747475
2000,Russische Föderation,1286,40081,31.16718506998445
2000,Saudi-Arabien,154,204,1.3246753246753247
2000,Schweden,914,513,0.5612691466083151
2000,Schweiz,7998,3731,0.46649162290572643
2000,Senegal,22,57,2.590909090909091
2000,Serbien,0,0,
