year,emigration,immigration,return_rate_global
2000,111244.0,191909.0,1.7251177591600446
2001,109507.0,193958.0,1.7711927091418813
2002,117683.0,184202.0,1.5652388195406304
2003,127267.0,167216.0,1.3138991254606458
2004,150667.0,177993.0,1.1813668553830634
2005,144815.0,128051.0,0.8842385112039499
2006,155290.0,103388.0,0.665773713696954
2007,161105.0,106014.0,0.6580428912820832
2008,174759.0,108331.0,0.6198879599906156
2009,154988.0,114700.0,0.7400572947583038
2010,141000.0,114752.0,0.8138439716312057
2011,140132.0,116604.0,0.8321011617617675
2012,133232.0,115028.0,0.8633661582802931
2013,140282.0,118425.0,0.8441924124263983
2014,148636.0,122195.0,0.8221090449150946
2015,138273.0,120713.0,0.8730048527188967
2016,281411.0,146047.0,0.5189811343550892
2017,249181.0,166703.0,0.6690036559769806
2018,261851.0,201531.0,0.7696399860989647
2019,270294.0,212669.0,0.7868062184140232
2020,220239.0,191883.0,0.8712489613556182
2021,247829.0,183650.0,0.7410351492359651
2022,268167.0,184753.0,0.6889475587973166
2023,265035.0,191356.0,0.7220027543531986
2024,269986.0,189107.0,0.7004326150244827
